ID,Year of death,Age,Gender,Province,Vehicle
9815991,2560,67,2,Songkhla,Car
9815858,2560,68,2,Songkhla, Motorcycle
9815898,2560,54,2,Songkhla, Motorcycle
9815922,2560,57,2,Songkhla, Motorcycle
9815896,2560,58,2,Songkhla, Motorcycle
9815992,2560,68,2,Songkhla,Car
9815836,2560,14,2,Songkhla, Motorcycle
9815844,2560,14,2,Songkhla, Motorcycle
9815979,2560,28,2,Songkhla, Motorcycle
9815978,2560,57,2,Songkhla, Motorcycle
9816081,2560,25,2,Trang, Motorcycle
9816055,2560,27,2,Trang, Motorcycle
9816116,2560,58,2,Trang, Motorcycle
9816100,2560,63,2,Trang, Motorcycle
9816120,2560,50,2,Trang,Car
9816057,2560,51,2,Trang, Motorcycle
9816107,2560,70,2,Trang, Motorcycle
9816071,2560,35,2,Trang, Motorcycle
9816134,2560,47,2,Trang,Car
9816136,2560,51,2,Trang, Motorcycle
9816140,2560,66,2,Phatthalung, Motorcycle
9816145,2560,18,2,Phatthalung, Motorcycle
9816153,2560,23,2,Phatthalung, Motorcycle
9816139,2560,29,2,Phatthalung, Motorcycle
9816187,2560,54,2,Phatthalung,Car
9816158,2560,61,2,Phatthalung, Motorcycle
9816182,2560,44,2,Phatthalung,Car
9816186,2560,64,2,Phatthalung, Motorcycle
9816155,2560,18,2,Phatthalung, Motorcycle
9816250,2560,68,2,Pattani, Motorcycle
9816241,2560,20,2,Pattani, Motorcycle
9816238,2560,52,2,Pattani, Motorcycle
9816237,2560,58,2,Pattani, Motorcycle
9816220,2560,52,2,Pattani, Motorcycle
9816282,2560,50,2,Yala,Car
9816275,2560,69,2,Yala, Motorcycle
9816329,2560,38,2,Narathiwat,Car
9816383,2560,46,2,Narathiwat, Motorcycle
9816309,2560,27,2,Narathiwat, Motorcycle
9816318,2560,36,2,Narathiwat, Motorcycle
9816346,2560,38,2,Narathiwat,Car
9816301,2560,43,2,Narathiwat,Van
9816325,2560,49,2,Narathiwat, Motorcycle
9816351,2560,45,2,Narathiwat, Motorcycle
9816372,2560,48,2,Narathiwat, Motorcycle
9816356,2560,55,2,Narathiwat,Car
9816357,2560,57,2,Narathiwat,Car
9816339,2560,24,2,Narathiwat, Motorcycle
9816354,2560,59,2,Narathiwat, Motorcycle
9797518,2560,25,1,Nakhon Si Thammarat, Motorcycle
9797402,2560,19,1,Songkhla, Motorcycle
9797324,2560,13,1,Trang, Motorcycle
9797309,2560,18,1,Trang, Motorcycle
9797706,2560,12,1,Surat Thani, Motorcycle
9798225,2560,17,1,Surat Thani, Motorcycle
9797769,2560,32,1,Surat Thani, Motorcycle
9798259,2560,18,1,Satun, Motorcycle
9797843,2560,15,1,Trang, Motorcycle
9797331,2560,45,1,Phatthalung, Motorcycle
9797771,2560,42,1,Trang, Motorcycle
9798167,2560,58,1,Yala, Motorcycle
9797345,2560,20,1,Narathiwat,Car
9798346,2560,57,1,Narathiwat,Car
9797608,2560,64,1,Nakhon Si Thammarat, Motorcycle
9797491,2560,50,1,Trang,Car
10101783,2562,17,1,Phuket, Motorcycle
10101545,2562,24,1,Phuket, Motorcycle
10102379,2562,26,1,Phuket, Motorcycle
10104206,2562,60,1,Phuket, Motorcycle
10102770,2562,15,1,Surat Thani, Motorcycle
10101302,2562,54,1,Nakhon Si Thammarat, Motorcycle
10103366,2562,19,1,Nakhon Si Thammarat, Motorcycle
10102599,2562,21,1,Nakhon Si Thammarat, Motorcycle
10102397,2562,22,1,Nakhon Si Thammarat, Motorcycle
10102943,2562,23,1,Nakhon Si Thammarat, Motorcycle
10104368,2562,24,1,Nakhon Si Thammarat, Motorcycle
10102292,2562,25,1,Nakhon Si Thammarat, Motorcycle
10102390,2562,27,1,Nakhon Si Thammarat, Motorcycle
10103486,2562,28,1,Nakhon Si Thammarat, Motorcycle
10102232,2562,35,1,Nakhon Si Thammarat, Motorcycle
10103560,2562,37,1,Nakhon Si Thammarat, Motorcycle
10102675,2562,44,1,Nakhon Si Thammarat, Motorcycle
10101740,2562,46,1,Nakhon Si Thammarat, Motorcycle
10102647,2562,64,1,Nakhon Si Thammarat, Motorcycle
10103315,2562,67,1,Nakhon Si Thammarat, Motorcycle
10102470,2562,16,1,Krabi, Motorcycle
10103786,2562,27,1,Krabi,Van
10103277,2562,41,1,Krabi, Motorcycle
10102738,2562,43,1,Krabi, Motorcycle
10104583,2562,45,1,Krabi, Motorcycle
10101933,2562,64,1,Krabi, Motorcycle
10102368,2562,44,1,Phang Nga, Motorcycle
10103742,2562,58,1,Phang Nga, Motorcycle
10103430,2562,18,1,Phuket, Motorcycle
10102141,2562,19,1,Phuket, Motorcycle
10101400,2562,20,1,Phuket, Motorcycle
10102019,2562,20,1,Phuket, Motorcycle
10102339,2562,24,1,Phuket, Motorcycle
10102598,2562,26,1,Phuket, Motorcycle
10101241,2562,27,1,Phuket, Motorcycle
10103220,2562,30,1,Phuket, Motorcycle
10103422,2562,31,1,Phuket, Motorcycle
10105063,2562,37,1,Phuket, Motorcycle
10103253,2562,38,1,Phuket, Motorcycle
10102369,2562,43,1,Phuket, Motorcycle
10104521,2562,50,1,Phuket, Motorcycle
10102233,2562,51,1,Phuket, Motorcycle
10104938,2562,51,1,Phuket, Motorcycle
10102194,2562,54,1,Phuket, Motorcycle
10101999,2562,55,1,Phuket, Motorcycle
10101674,2562,18,1,Surat Thani, Motorcycle
10104093,2562,18,1,Surat Thani, Motorcycle
10102488,2562,19,1,Surat Thani, Motorcycle
10102430,2562,21,1,Surat Thani, Motorcycle
10104375,2562,24,1,Surat Thani, Motorcycle
10105043,2562,28,1,Surat Thani, Motorcycle
10103352,2562,49,1,Surat Thani, Motorcycle
10103987,2562,68,1,Surat Thani, Motorcycle
10104204,2562,18,1,Surat Thani, Motorcycle
10104815,2562,34,1,Nakhon Si Thammarat, Motorcycle
10102535,2562,70,1,Nakhon Si Thammarat, Motorcycle
10104688,2562,20,1,Nakhon Si Thammarat, Motorcycle
10101240,2562,26,1,Nakhon Si Thammarat, Motorcycle
10103035,2562,35,1,Nakhon Si Thammarat, Motorcycle
10102135,2562,52,1,Nakhon Si Thammarat, Motorcycle
10103393,2562,63,1,Nakhon Si Thammarat, Motorcycle
10104578,2562,67,1,Nakhon Si Thammarat, Motorcycle
